,id,x,y,shootZone,minute,period,footName,xg,types,shotOutcome,possession,player,shootZonePoint,oldShootZonePoint
463,1716347490,79,35,gc,56,2,right,0.0228103939,"['action', 'highlight', 'opportunity', 'received_pass', 'received_pass_in_final_third', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",C. Wilson,"{'top': '43%', 'left': '65%'}",
464,1716347683,91,37,bc,66,2,left,0.1128480807,"['action', 'blocked_shot', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Opportunity', 'Shot', 'Attack']",A. Beestin,"{'top': '61%', 'left': '30%'}",
465,1716347942,88,54,glb,78,2,right,0.4084745049,"['action', 'any_goal', 'goal', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Goal', 'Free kick']",A. Beestin,"{'top': '91%', 'left': '4%'}",
466,1716348005,90,32,ptr,82,2,right,0.1043001562,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_post', 'shot_to_far_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",post,"['Opportunity', 'Shot', 'Attack']",D. Elliott,"{'top': '1%', 'right': '11%'}",
467,1716348100,93,36,bc,86,2,left,0.0597970374,"['action', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Shot', 'Attack']",D. Elliott,"{'top': '60%', 'left': '32%'}",
468,1716348133,94,72,gb,88,2,right,0.0611805283,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",D. Sembie-Ferris,"{'top': '75%', 'left': '51%'}",
469,1716348242,89,68,gc,93,2,right,0.0997899473,"['action', 'any_goal', 'goal', 'goal_after_throw_in', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Goal']",D. Sembie-Ferris,"{'top': '35%', 'left': '55%'}",
470,1712032170,77,70,bc,6,1,left,0.0004228512,"['action', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Set piece attack', 'Attack', 'Free kick', 'Smart pass inside opponent goal']",J. Cowley,"{'top': '21%', 'left': '8%'}",
471,1712032306,85,69,gb,17,1,right,0.062441241,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",J. Cowley,"{'top': '85%', 'left': '60%'}",
472,1712032478,77,71,gbr,32,1,left,0.0266372208,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Free kick']",A. Livingstone,"{'top': '88%', 'left': '88%'}",
